id_codedep_codecom,coddep,commune,pmun,pcap,ptot
01333,01,SAINT-ANDRÉ-DE-CORCY,3369,59,3428
01334,01,SAINT-ANDRÉ-D'HUIRIAT,658,9,667
01335,01,SAINT-ANDRÉ-LE-BOUCHOUX,402,6,408
01336,01,SAINT-ANDRÉ-SUR-VIEUX-JONC,1174,22,1196
01337,01,SAINT-BÉNIGNE,1311,27,1338
01338,01,GROSLÉE-SAINT-BENOIT,1227,37,1264
01339,01,SAINT-BERNARD,1463,43,1506
01342,01,SAINTE-CROIX,554,11,565
01343,01,SAINT-CYR-SUR-MENTHON,1793,41,1834
01344,01,SAINT-DENIS-LÈS-BOURG,5943,166,6109
01345,01,SAINT-DENIS-EN-BUGEY,2266,34,2300
01346,01,SAINT-DIDIER-D'AUSSIAT,858,19,877
01347,01,SAINT-DIDIER-DE-FORMANS,2035,63,2098
01348,01,SAINT-DIDIER-SUR-CHALARONNE,2938,65,3003
01349,01,SAINT-ELOI,503,5,508
01350,01,SAINT-ETIENNE-DU-BOIS,2542,40,2582
01351,01,SAINT-ETIENNE-SUR-CHALARONNE,1571,26,1597
01352,01,SAINT-ETIENNE-SUR-REYSSOUZE,583,6,589
01353,01,SAINTE-EUPHÉMIE,1700,28,1728
01354,01,SAINT-GENIS-POUILLY,13943,200,14143
01355,01,SAINT-GENIS-SUR-MENTHON,486,7,493
01356,01,SAINT-GEORGES-SUR-RENON,208,5,213
01357,01,SAINT-GERMAIN-DE-JOUX,502,7,509
01358,01,SAINT-GERMAIN-LES-PAROISSES,429,3,432
01359,01,SAINT-GERMAIN-SUR-RENON,246,3,249
01360,01,SAINT-JEAN-DE-GONVILLE,1895,48,1943
01361,01,SAINT-JEAN-DE-NIOST,1577,48,1625
01362,01,SAINT-JEAN-DE-THURIGNEUX,786,15,801
01363,01,SAINT-JEAN-LE-VIEUX,1772,70,1842
01364,01,SAINT-JEAN-SUR-REYSSOUZE,756,7,763
01365,01,SAINT-JEAN-SUR-VEYLE,1162,20,1182
01366,01,SAINTE-JULIE,1082,18,1100
01367,01,SAINT-JULIEN-SUR-REYSSOUZE,746,4,750
01368,01,SAINT-JULIEN-SUR-VEYLE,838,15,853
01369,01,SAINT-JUST,942,25,967
01370,01,SAINT-LAURENT-SUR-SAÔNE,1688,28,1716
01371,01,SAINT-MARCEL,1242,29,1271
01372,01,SAINT-MARTIN-DE-BAVEL,444,5,449
01373,01,SAINT-MARTIN-DU-FRÊNE,1023,30,1053
01374,01,SAINT-MARTIN-DU-MONT,1871,45,1916
01375,01,SAINT-MARTIN-LE-CHÂTEL,782,20,802
01376,01,SAINT-MAURICE-DE-BEYNOST,3962,39,4001
01378,01,SAINT-MAURICE-DE-GOURDANS,2645,54,2699
01379,01,SAINT-MAURICE-DE-RÉMENS,760,11,771
01380,01,SAINT-NIZIER-LE-BOUCHOUX,632,13,645
01381,01,SAINT-NIZIER-LE-DÉSERT,921,18,939
01382,01,SAINTE-OLIVE,279,2,281
